timestamp,event_type,source_ip,username,raw_message,hour,is_night_access,rolling_fail_5m,is_admin_target,ip_freq,is_anomaly,anomaly_score,reason
2026-12-10 06:55:46,OTHER,173.234.31.186,ns.marryaldkfaczcz.com,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,6,0,0.0,0,0.005,True,-4.9345399774525234e-05,Rare source IP '173.234.31.186' (freq=0.0050)
2026-12-10 06:55:46,OTHER,,webmaster,input_userauth_request: invalid user webmaster [preauth],6,0,0.0,0,0.133,True,-0.0322259606577916,Anomalous pattern
2026-12-10 06:55:46,OTHER,,unknown,pam_unix(sshd:auth): check pass; user unknown,6,0,0.0,0,0.133,True,-0.0322259606577916,Anomalous pattern
2026-12-10 07:13:43,FAILED_LOGIN,5.36.59.76,root,Failed password for root from 5.36.59.76 port 42393 ssh2,7,0,1.0,1,0.002,True,-0.03308818929410984,Privileged account targeted: 'root'  |  Suspicious event: Failed Login  |  Rare source IP '5.36.59.76' (freq=0.0020)
2026-12-10 07:13:56,FAILED_LOGIN,5.36.59.76,root,message repeated 5 times: [ Failed password for root from 5.36.59.76 port 42393 ssh2],7,0,2.0,1,0.002,True,-0.032539492022533256,Privileged account targeted: 'root'  |  Suspicious event: Failed Login  |  Rare source IP '5.36.59.76' (freq=0.0020)
2026-12-10 07:13:56,OTHER,,root,Disconnecting: Too many authentication failures for root [preauth],7,0,0.0,1,0.133,True,-0.046085663507991925,Privileged account targeted: 'root'
2026-12-10 07:27:52,FAILED_LOGIN,112.95.230.3,root,Failed password for root from 112.95.230.3 port 45378 ssh2,7,0,1.0,1,0.04,True,-0.025089626646720542,Privileged account targeted: 'root'  |  Suspicious event: Failed Login
2026-12-10 07:27:55,FAILED_LOGIN,112.95.230.3,root,Failed password for root from 112.95.230.3 port 47068 ssh2,7,0,2.0,1,0.04,True,-0.019138499130436415,Privileged account targeted: 'root'  |  Suspicious event: Failed Login
2026-12-10 07:27:58,FAILED_LOGIN,112.95.230.3,root,Failed password for root from 112.95.230.3 port 49188 ssh2,7,0,3.0,1,0.04,True,-0.017078308805062226,Privileged account targeted: 'root'  |  Suspicious event: Failed Login
2026-12-10 07:28:00,FAILED_LOGIN,112.95.230.3,root,Failed password for root from 112.95.230.3 port 50999 ssh2,7,0,4.0,1,0.04,True,-0.016758527573754844,Privileged account targeted: 'root'  |  Suspicious event: Failed Login
